name,position,team,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,team_a_score,team_h_score,total_points,value,was_home,yellow_cards,GW,matchFile,homeTeamID,awayTeamID,goals_scored_distribution
Jakub Stolarczyk,GK,Leicester,0,0,0,0,9,0,0,0,0,1,2,0,40,False,0,2,FULLCI,10,8,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Lloyd Kelly,DEF,Newcastle,0,1,0,68,3,0,0,0,0,1,1,2,45,False,0,2,BOUNEW,14,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Mateus Gonçalo Espanha Fernandes,MID,Southampton,0,0,0,14,16,0,0,0,0,1,0,1,50,True,0,2,SOUNOT,16,15,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Valentín Barco,DEF,Brighton,0,0,0,0,14,0,0,0,0,1,2,0,40,True,0,2,BHAMNU,4,13,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Dean Huijsen,DEF,Bournemouth,0,0,0,0,15,0,0,0,0,1,1,0,45,True,0,2,BOUNEW,0,14,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Max Aarons,DEF,Bournemouth,0,0,0,0,15,0,0,0,0,1,1,0,45,True,0,2,BOUNEW,0,14,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Rhys Williams,DEF,Liverpool,0,0,0,0,4,0,0,0,0,0,2,0,40,True,0,2,LIVBRE,11,3,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Michail Antonio,FWD,West Ham,1,0,0,61,7,0,0,0,0,2,0,2,55,False,0,2,CRYWHU,18,6,"{""0"": 0.4664449446565387, ""1"": 0.5098364731835378, ""2"": 0.023718582159924145, ""3"": 0}"
Ibrahim Osman,MID,Brighton,0,0,0,0,14,0,0,0,0,1,2,0,50,True,0,2,BHAMNU,4,13,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
Lewis Miley,MID,Newcastle,0,0,0,0,3,0,0,0,0,1,1,0,50,False,0,2,BOUNEW,14,2,"{""0"": 1, ""1"": 0, ""2"": 0, ""3"": 0}"
